"Date","Price","Open","High","Low","Vol.","Change %"
"08/26/2024","72.582199","72.114899","73.075302","71.761101","","0.69%"
"08/23/2024","72.082901","72.027802","72.551903","71.670753","","0.13%"
"08/22/2024","71.991501","72.360550","73.089302","71.681999","","-0.47%"
"08/21/2024","72.328400","72.196747","73.168900","71.866096","","0.62%"
"08/20/2024","71.881302","71.197250","72.800598","70.506851","","1.20%"
"08/19/2024","71.027199","70.666748","71.364998","70.320900","","0.77%"
"08/16/2024","70.485001","70.256599","71.946152","69.369003","","0.37%"
"08/15/2024","70.225304","71.141251","71.697601","69.776649","","-0.87%"
"08/14/2024","70.844498","71.711746","73.694603","69.717003","","-1.17%"
"08/13/2024","71.679802","72.045151","76.320351","71.570053","","-0.34%"
"08/12/2024","71.926300","70.078247","72.678551","69.858749","","2.68%"
"08/09/2024","70.046997","68.343399","70.565498","68.343399","","2.81%"
"08/08/2024","68.133499","67.859901","68.876053","67.704498","","0.46%"
"08/07/2024","67.823097","67.909897","68.444847","67.048950","","0.15%"
"08/06/2024","67.723701","67.388603","68.229599","67.098801","","0.63%"
"08/05/2024","67.297699","67.954948","69.148849","67.127502","","-0.74%"
"08/02/2024","67.799698","67.992653","68.360199","67.719002","","-0.02%"
"08/01/2024","67.813698","68.490349","68.858299","67.781151","","-0.66%"
"07/31/2024","68.264603","68.137497","69.035049","67.569252","","-0.11%"
"07/30/2024","68.339203","68.711098","69.230049","68.136002","","-0.50%"
"07/29/2024","68.680199","68.334198","69.158897","67.877747","","0.55%"
"07/26/2024","68.303497","67.278702","69.335999","67.124702","","1.57%"
"07/25/2024","67.248497","68.312599","68.997353","67.040802","","-1.50%"
"07/24/2024","68.275200","69.809303","69.970848","68.181953","","-2.15%"
"07/23/2024","69.778000","69.760696","70.125999","68.233803","","0.07%"
"07/22/2024","69.729401","69.547752","70.342300","69.207947","","0.31%"
"07/19/2024","69.516602","70.152702","70.315048","69.012299","","-0.86%"
"07/18/2024","70.121300","70.305351","70.468002","69.495949","","-0.22%"
"07/17/2024","70.273804","70.236549","70.407051","69.682098","","0.10%"
"07/16/2024","70.205101","70.076653","70.647148","69.332802","","0.23%"
"07/15/2024","70.045303","69.547348","70.437553","69.022751","","0.76%"
"07/12/2024","69.516296","68.778801","69.861847","68.626297","","1.17%"
"07/11/2024","68.710297","69.936546","70.187897","68.688202","","-1.71%"
"07/10/2024","69.905296","68.487549","70.469498","68.487549","","2.12%"
"07/09/2024","68.456902","68.650452","70.199699","68.487549","","-0.24%"
"07/08/2024","68.619698","69.820602","71.429100","68.650452","","-1.35%"
"07/05/2024","69.561600","70.724403","72.599403","69.525398","","-1.60%"
"07/04/2024","70.692703","70.210449","70.882797","69.143051","","1.64%"
"07/03/2024","69.553001","69.862846","70.528000","68.803101","","-0.32%"
"07/02/2024","69.777298","68.931152","70.520401","68.684898","","1.32%"
"07/01/2024","68.868500","68.284950","69.794052","67.617752","","0.90%"
"06/28/2024","68.254204","67.701248","70.291550","67.428352","","0.86%"
"06/27/2024","67.670700","70.100151","71.653297","65.240196","","-3.49%"
"06/26/2024","70.117996","69.412598","71.851097","67.136398","","0.33%"
"06/25/2024","69.890701","69.841797","71.792847","66.774048","","0.29%"
"06/24/2024","69.691597","70.553398","73.285797","66.874298","","-1.18%"
"06/21/2024","70.521896","69.044052","75.483704","66.365952","","2.49%"
"06/20/2024","68.805496","65.608101","71.470848","64.966347","","4.40%"
"06/19/2024","65.905251","67.910004","70.093048","64.433098","","-2.48%"
"06/18/2024","67.582703","70.139000","72.046700","66.731697","","-3.78%"
"06/17/2024","70.234596","70.971802","73.153000","68.586952","","-0.99%"
"06/14/2024","70.940102","69.660202","75.920799","68.501152","","1.88%"
"06/13/2024","69.628998","70.517303","73.492554","67.442146","","-0.87%"
"06/12/2024","70.241096","70.844254","71.389351","70.063599","","-0.44%"
"06/11/2024","70.549797","70.340698","71.200500","68.333054","","0.34%"
"06/10/2024","70.309303","70.412750","71.461449","68.896248","","0.36%"
"06/07/2024","70.055199","70.469704","70.815247","69.538696","","-0.38%"
"06/06/2024","70.322800","70.250648","70.791603","69.626350","","0.16%"
"06/05/2024","70.212402","70.153900","70.721802","69.610703","","0.64%"
"06/04/2024","69.765900","70.808800","71.016350","69.841103","","-0.95%"
"06/03/2024","70.435303","71.730949","71.992851","70.277649","","-1.76%"
"05/31/2024","71.698898","71.573196","72.580650","70.163147","","0.14%"
"05/30/2024","71.601303","70.861397","71.708649","70.346703","","1.25%"
"05/29/2024","70.716103","70.019249","71.470154","69.614502","","1.04%"
"05/28/2024","69.987999","70.013496","70.712097","69.164047","","0.01%"
"05/27/2024","69.982399","70.525200","71.017403","68.741302","","-0.73%"
"05/24/2024","70.493896","72.072548","72.799751","69.102898","","-1.67%"
"05/23/2024","71.690498","70.885597","72.842850","69.309753","","1.58%"
"05/22/2024","70.575500","71.092598","72.203247","70.037148","","-0.11%"
"05/21/2024","70.650299","71.491402","71.800400","70.578796","","-1.00%"
"05/20/2024","71.367302","71.852249","72.400551","69.785103","","-0.63%"
"05/17/2024","71.820297","71.442596","72.093300","71.124603","","0.57%"
"05/16/2024","71.411003","71.636353","71.851547","70.742950","","0.07%"
"05/15/2024","71.363899","71.847504","72.126404","71.378304","","-0.55%"
"05/14/2024","71.754997","72.126801","72.477547","70.988701","","-0.47%"
"05/13/2024","72.094902","72.901848","73.188248","71.338501","","-1.02%"
"05/10/2024","72.836502","72.896950","73.246803","71.691399","","-0.04%"
"05/09/2024","72.864700","72.249100","73.355652","72.155701","","1.33%"
"05/08/2024","71.909798","72.098747","72.960701","71.771400","","0.10%"
"05/07/2024","71.834602","72.186653","72.680252","71.633652","","0.17%"
"05/06/2024","71.710999","72.169403","73.291946","70.961403","","0.06%"
